6969,gotham city,7
839,mars,7
663,fortune teller,7
161184,reboot,7
5144,matter of life and death,7
5938,mermaid,7
606,orcs,7
167982,unlikely friendship,7
41406,middle ages,7
14514,class differences,7
165086,star crossed lovers,7
11117,tank,7
10891,giant robot,7
291,circus,7
3929,hope,7
186565,zombie apocalypse,7
4276,machinegun,7
184134,archeology ,7
5096,natural disaster,7
212760,interspecies romance,7
331,tattoo,7
161155,kids,7
9720,woods,7
2276,talent,7
5801,nerd,7
2733,firemen,7
33479,single father,7
159953,automobile racing,7
793,drowning,7
6093,assault,7
1627,patriotism,7
2630,cutting the cord,7
5608,affection,7
2246,confidence,7
3914,kitchen,7
3347,volcano,7
6256,truth,7
588,rome,7
2035,mythology,7
160279,18th century,7
1969,map,7
4456,frog,7
5490,girlfriend,7
5561,child prodigy,7
10141,battlefield,7
1423,asteroid,7
161919,adult animation,7
1543,war veteran,7
46951,mirror,7
2551,pet,7
6362,turtle,7
14955,fighting,7
11196,rebellion,7
156117,illegal drugs,7
167316,buddy cop,7
2111,soviet union,7
167861,caribbean,7
18249,game,7
2646,bird,7
9777,escape from prison,7
6506,resurrection,7
10456,athlete,7
2101,garage,7
159955,cavemen,7
6203,loss,7
2301,architect,7
383,poker,7
3391,drug smuggle,7
193305,dishonesty,7
2284,horseback riding,7
4604,father-in-law,7
3136,plantation,7
9791,number in title,7
5636,wall street,7
4676,whale,7
3338,invention,7
2987,gang war,7
9678,mind control,7
1909,coffin,7
161891,doppelganger,7
407,dictator,7
643,horse race,7
3875,barn,7
7188,hostage-taking,7
3633,dracula,7
1655,country house,7
10092,mystery,7
9732,movie in movie,7
10855,fate,7
1022,workaholic,7
1786,heart attack,7
5404,meteor,7
6157,prayer,7
5570,christmas tree,7
1950,vororte,7
5698,egg,7
10614,tragedy,7
2944,senator,7
156104,stranger,7
179585,american civil war,7
209220,live action and animation,7
168346,"manhattan, new york city",7
458,hippie,7
4995,aging,7
8624,climbing,7
554,manager,7
14782,trust,7
3342,yacht,7
3345,bahamas,7
6898,quarantine,7
795,running,7
1595,ex-girlfriend,7
10048,unrequited love,7
3979,hidden camera,7
155294,family conflict,7
11546,hitchhiker,7
172971,elderly,7
1353,underground,7
15016,twins,7
